Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-6127.33	-6329.793	202.4637	0.4410176	1.334833	4.715189
6	-6120.945	-6322.93	201.9847	0.5063836	1.29169	4.943761
12	-6128.565	-6331.36	202.7958	0.5228822	1.30885	4.465377
18	-6145.773	-6348.683	202.9104	0.4380909	1.321277	4.475141
24	-6129.077	-6331.518	202.4409	0.4380909	1.263372	4.770823
30	-6128.784	-6331.942	203.1582	0.4839488	1.385194	4.2538
36	-6129.109	-6329.927	200.8178	0.4972358	1.265986	5.610922
42	-6133.591	-6334.894	201.3037	0.4841154	1.192852	5.396016
48	-6144.31	-6345.637	201.3274	0.4594966	1.211495	5.396016
54	-6131.352	-6332.27	200.9183	0.457807	1.271047	5.589956
60	-6142.974	-6345.16	202.1858	0.4719579	1.31117	4.853154
66	-6129.457	-6333.325	203.8681	0.4674575	1.394036	3.859959
72	-6142.47	-6345.464	202.9937	0.3736335	1.376719	4.466393
78	-6138.195	-6341.829	203.6333	0.3354352	1.373354	4.151649
84	-6123.785	-6326.228	202.4422	0.4548644	1.355984	4.701552
90	-6133.941	-6335.678	201.7367	0.5343462	1.288269	5.058469
96	-6120.938	-6323.381	202.4429	0.3692688	1.279602	4.83431
102	-6119.809	-6324.006	204.1975	0.3990563	1.341672	3.772459
108	-6114.302	-6318.081	203.7797	0.5078612	1.466001	3.830337
114	-6124.722	-6328.408	203.686	0.5050254	1.356005	3.949885
120	-6127.892	-6331.715	203.8235	0.4286572	1.351056	3.949885
126	-6134.476	-6337.786	203.3104	0.3735213	1.258098	4.3548
132	-6156.008	-6359.045	203.0369	0.4013437	1.361305	4.419969
138	-6139.636	-6341.435	201.7983	0.4832705	1.297607	5.065426
144	-6144.549	-6346.904	202.3551	0.4273918	1.250544	4.836806
150	-6124.201	-6327.028	202.8277	0.4982054	1.259726	4.497722
156	-6128.94	-6331.76	202.8191	0.4005935	1.330962	4.560382
162	-6127.547	-6331.34	203.7922	0.4545628	1.400527	3.912722
168	-6126.72	-6330.442	203.722	0.3895411	1.337819	4.057857
174	-6122.857	-6326.009	203.1524	0.4689879	1.281722	4.330139
180	-6126.57	-6328.233	201.6628	0.4210664	1.284901	5.208652
186	-6118.155	-6320.39	202.2352	0.4639658	1.253204	4.865625
192	-6123.489	-6324.38	200.8913	0.4639658	1.216932	5.628526
198	-6130.528	-6332.337	201.8097	0.4639658	1.230308	5.114829
204	-6126.727	-6329.251	202.5241	0.4342324	1.220516	4.752223
