Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-6120.263	-6323.346	203.0837	0.4375863	1.309964	4.384368
6	-6125.206	-6327.746	202.5397	0.4314966	1.254	4.727575
12	-6131.82	-6333.94	202.1206	0.5326747	1.253863	4.865629
18	-6123.059	-6323.616	200.5568	0.4350369	1.162782	5.869611
24	-6121.695	-6323.03	201.335	0.4859888	1.228005	5.357635
30	-6127.847	-6329.524	201.6773	0.5128333	1.269546	5.120882
36	-6124.287	-6327.156	202.8683	0.4625613	1.358387	4.453451
42	-6132.423	-6336.865	204.4422	0.4601113	1.376509	3.545592
48	-6124.532	-6328.903	204.3711	0.4602524	1.425002	3.558623
54	-6121.968	-6325.955	203.9863	0.4389492	1.419715	3.806262
60	-6124.108	-6327.827	203.7198	0.4389492	1.40718	3.966381
66	-6112.417	-6316.536	204.1186	0.4487458	1.395421	3.733833
72	-6122.776	-6327.073	204.2974	0.4193868	1.432519	3.639936
78	-6120.987	-6326.007	205.0199	0.4261674	1.510042	3.163469
84	-6126.501	-6331.391	204.8908	0.4419226	1.510766	3.222539
90	-6124.492	-6329.297	204.8047	0.5078923	1.483734	3.222539
96	-6131.41	-6336.17	204.7607	0.4015212	1.568079	3.309927
102	-6123.435	-6328.673	205.2376	0.4626086	1.584405	2.949805
108	-6126.638	-6331.873	205.2346	0.4484794	1.584405	2.966556
114	-6146.15	-6347.94	201.7898	0.4216228	1.225797	5.170539
120	-6140.436	-6345.69	205.2535	0.4474164	1.546003	2.979446
126	-6125.694	-6329.935	204.2409	0.4455528	1.475354	3.620109
132	-6127.15	-6330.27	203.1203	0.4163721	1.370232	4.35177
138	-6124.539	-6327.679	203.1406	0.3957619	1.367716	4.363915
144	-6141.002	-6342.353	201.3515	0.5034213	1.247985	5.321458
150	-6136.912	-6338.705	201.793	0.4621005	1.272693	5.102343
156	-6147.343	-6349.294	201.9509	0.4506616	1.161119	5.087839
162	-6137.252	-6341.408	204.1561	0.4762795	1.450024	3.652797
168	-6130.717	-6333.607	202.8898	0.4757063	1.349982	4.433293
174	-6139.474	-6341.745	202.2713	0.508211	1.3299	4.76108
180	-6130.952	-6332.695	201.7432	0.4641707	1.309792	5.107418
186	-6138.204	-6340.798	202.5949	0.4509075	1.257744	4.674994
192	-6125.306	-6326.63	201.3242	0.4870983	1.311931	5.316254
198	-6134.821	-6335.471	200.6498	0.4266188	1.310481	5.746361
204	-6130.603	-6330.491	199.8885	0.4429529	1.122391	6.248038
210	-6123.589	-6325.018	201.429	0.4484518	1.214194	5.349302
216	-6136.066	-6337.429	201.3623	0.5145882	1.214194	5.324095
222	-6134.372	-6334.901	200.5286	0.4225147	1.108879	5.927006
228	-6129.81	-6331.216	201.406	0.4186178	1.223194	5.387029
234	-6133.377	-6335.439	202.0623	0.4979033	1.286224	4.911437
240	-6128.164	-6330.12	201.9559	0.5248316	1.262976	4.959148
246	-6140.444	-6342.241	201.7966	0.4927089	1.293624	5.059785
252	-6143.016	-6346.692	203.6768	0.5627011	1.364159	3.898246
258	-6133.046	-6337.022	203.9763	0.4204369	1.40479	3.84015
264	-6125.754	-6328.724	202.9692	0.5230325	1.329484	4.355832
270	-6131.915	-6335.673	203.7577	0.3949914	1.462589	3.96014
276	-6131.659	-6336.457	204.7972	0.4420805	1.504025	3.28166
282	-6129.087	-6334.159	205.0722	0.4057728	1.562755	3.123806
288	-6127.634	-6332.436	204.8021	0.4018111	1.562755	3.288304
294	-6130.136	-6335.636	205.5002	0.4605174	1.608911	2.778041
300	-6134.935	-6341.596	206.6606	0.4496559	1.764732	1.953493
306	-6125.774	-6332.429	206.6551	0.4496559	1.761189	1.959548
312	-6135.742	-6341.898	206.1566	0.4601084	1.765122	2.271454
318	-6138.578	-6344.782	206.2043	0.5023705	1.802718	2.170057
324	-6140.346	-6346.972	206.6267	0.4729507	1.770533	1.944996
330	-6123.42	-6326.466	203.0453	0.4261729	1.395296	4.36963
336	-6131.155	-6334.694	203.5389	0.412682	1.405839	4.09812
342	-6132.652	-6334.523	201.8704	0.4414316	1.154708	5.145176
348	-6133.228	-6334.662	201.4346	0.4578255	1.239067	5.323341
354	-6148.013	-6349.71	201.6968	0.4108014	1.21403	5.239697
360	-6139.426	-6341.303	201.8769	0.5182293	1.275755	5.001858
366	-6134.81	-6337.95	203.1398	0.5218155	1.377329	4.233337
372	-6139.392	-6342.128	202.7362	0.5075136	1.289063	4.524069
378	-6132.155	-6333.97	201.8155	0.4627947	1.258393	5.097127
384	-6123.79	-6325.601	201.8109	0.4572284	1.272797	5.097127
390	-6142.177	-6345.609	203.4313	0.3883667	1.266662	4.264842
396	-6138.785	-6341.317	202.5325	0.5327744	1.254643	4.634925
402	-6133.247	-6336.433	203.1862	0.4241893	1.382236	4.299471
408	-6128.486	-6332.524	204.0378	0.4225116	1.398366	3.806248
414	-6123.715	-6327.201	203.4854	0.4478153	1.27998	4.163435
420	-6131.419	-6334.112	202.6929	0.4901978	1.397653	4.50348
426	-6139.912	-6343.142	203.2298	0.5151925	1.370016	4.192453
432	-6132.684	-6335.16	202.4753	0.4344001	1.330505	4.717825
438	-6129.558	-6331.936	202.3773	0.4480721	1.305873	4.772604
444	-6131.652	-6332.791	201.1385	0.4160531	1.267882	5.512337
450	-6137.426	-6339.109	201.6829	0.4179842	1.288126	5.198929
456	-6130.375	-6331.865	201.4894	0.5379086	1.276406	5.198929
462	-6133.863	-6336.606	202.7428	0.4719199	1.346717	4.521536
468	-6150.168	-6352.326	202.1584	0.509382	1.271542	4.85554
474	-6123.694	-6327.88	204.1855	0.4703375	1.43998	3.647497
480	-6127.799	-6332.124	204.3255	0.4528939	1.45538	3.575023
486	-6127.959	-6332.383	204.4239	0.446162	1.413138	3.549282
492	-6120.504	-6324.041	203.5367	0.5128447	1.413138	3.995292
498	-6127.706	-6329.401	201.6955	0.3879877	1.245535	5.247305
504	-6120.381	-6323.78	203.3993	0.4752637	1.350866	4.144818
510	-6118.265	-6322.31	204.0445	0.4101851	1.432394	3.796089
516	-6117.2	-6320.793	203.5928	0.405588	1.426243	4.063441
522	-6126.026	-6329.146	203.1201	0.4513942	1.267272	4.373958
528	-6121.81	-6325.284	203.4739	0.4513942	1.416553	4.088645
534	-6122.066	-6326.562	204.4963	0.4513942	1.425789	3.494316
540	-6123.097	-6327.882	204.7849	0.4513942	1.538968	3.258489
546	-6121.612	-6326.883	205.2708	0.520266	1.57941	2.874466
552	-6128.993	-6333.944	204.9513	0.4213948	1.539685	3.191862
558	-6135.196	-6340.062	204.8658	0.4633689	1.528781	3.204227
564	-6127.472	-6331.559	204.0865	0.5226732	1.528781	3.602941
570	-6132.915	-6336.824	203.91	0.4270273	1.495493	3.819089
576	-6126.644	-6331.212	204.567	0.4270273	1.549557	3.406342
582	-6144.963	-6349.177	204.2143	0.4383417	1.434721	3.666594
588	-6128.71	-6333.081	204.3705	0.4383525	1.460641	3.560894
594	-6141.996	-6347.989	205.9933	0.4333655	1.662183	2.470462
600	-6136.511	-6342.694	206.1837	0.4406108	1.71611	2.307618
606	-6131.421	-6337.785	206.3638	0.4406108	1.750818	2.169346
612	-6142.342	-6348.739	206.3964	0.4790524	1.705555	2.133704
618	-6133.463	-6339.226	205.7627	0.436442	1.705555	2.583669
624	-6130.543	-6336.555	206.0111	0.408189	1.64897	2.496934
630	-6117.216	-6323.121	205.9049	0.4740827	1.636304	2.496934
636	-6117.558	-6320.729	203.1718	0.4740827	1.307631	4.299524
642	-6118.465	-6322.026	203.5604	0.5117465	1.402364	3.988938
648	-6126.586	-6330.399	203.8132	0.4674654	1.415513	3.879145
654	-6133.74	-6337.624	203.8842	0.4216253	1.426817	3.879145
660	-6144.352	-6347.244	202.8918	0.5300511	1.423494	4.340154
666	-6131.895	-6335.099	203.2035	0.4801217	1.369533	4.240662
672	-6142.155	-6347.906	205.7512	0.4703889	1.585063	2.628191
678	-6141.844	-6347.737	205.8926	0.3870725	1.59714	2.628191
684	-6134.445	-6339.834	205.3896	0.426221	1.644227	2.861318
690	-6134.381	-6336.371	201.9892	0.4636425	1.247911	5.005733
696	-6132.759	-6335.885	203.1266	0.4396221	1.363139	4.328017
702	-6134.873	-6338.011	203.1386	0.4408412	1.348895	4.328017
708	-6127.916	-6330.775	202.8593	0.4812988	1.299945	4.473279
714	-6133.919	-6337.483	203.564	0.4047031	1.286771	4.160163
720	-6128.422	-6331.466	203.0435	0.4562581	1.30216	4.392621
